name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value,ds_id,ds_qid
"Abdullah Yenişehirli, -1742 or 1743",author,"عبد الله يكيشهرى, -1742 or 1743",,human,Abdullah Yenişehirli,Q130374960,DSNAME6789,Q54770
"Abdullah Yenişehirli, -1742 or 1743",author,عبد الله يكيشهرى,,human,Abdullah Yenişehirli,Q130374960,DSNAME6789,Q54770
"Abe, Shōō, approximately 1650-1753",author,,,human,Abe Shōō,Q11657816,DSNAME8527,Q76644
"Abe, Shōō, approximately 1650-1753",artist,,,human,Abe Shōō,Q11657816,DSNAME8527,Q76644
"Abell, William, active approximately 1440-1460",artist,,,human,William Abell,Q18577146,DSNAME3621,Q40066
"Abezier, Johann",former owner,,,human,Johannes Abezier,Q95771,DSNAME2835,Q20153
"Abharī, Sayf al-Dīn Aḥmad",author,,,human,Sayf al-Dīn Aḥmad Abharī,Q135441858,DSNAME8779,Q103622
"Abhinanda, active 9th century",author,,http://id.loc.gov/authorities/names/n88147689,human,Abhinanda,Q99972294,DSNAME3397,Q28181
"Abhinavagupta, Rājānaka",author,,http://id.loc.gov/authorities/names/n50034836,human,Abhinavagupta,Q320619,DSNAME3292,Q28076
Abhinavanārāyaṇendrasarasvatī,author,,http://id.loc.gov/authorities/names/n79033269,human,Abhinavanārāyaṇendrasarasvatī,Q124252802,DSNAME3467,Q28251
"Abiṭbul, Yosef ben Shaʼul Yeshuʻah",author,"אביטבול, יוסף שאול ישועה",,human,Yosef ben Shaʼul Yeshuʻah Abiṭbul,Q132799232,DSNAME8472,Q75883
"Abīwardī, Muḥammad ibn Aḥmad, -1113",author,ابيوردي، محمد بن احمد، -1113,,human,Muḥammad ibn Aḥmad Abīwardī,Q30088060,DSNAME1797,Q12327
"Abjadī, Muḥammad Ismāʻīl Khān, -1778",author,,,human,Muḥammad Ismāʻīl Khān Abjadī,Q129453152,DSNAME6183,Q49054
"Aboab, Isaac, active 14th century",author,"אבוהב, יצחק, active 14th century",,human,Isaac Aboab I,Q1673399,DSNAME8353,Q75765
"Aboab, Isaac de Mattathias, 1631-1707",author,"אבוהב, יצחק בן מתתיה, 1631-1707",,human,Isaac Aboab,Q5920544,DSNAME8208,Q75622
"Aboab, Yaʻaḳov ben Shemuʼel (Of Venice)",author,"אבוהב, יעקב בן שמואל, מונציה",,human,Yaʻaḳov ben Shemuʼel Aboab of Venice,Q132799193,DSNAME8266,Q75679
"Abraham, active 1457",former owner,,,human,Abraham,Q124617911,DSNAME3622,Q40067
Abraham Abulafia,author,,,human,Abraham Abulafia,Q323448,DSNAME3623,Q40068
Abraham bar Hiyya ha-Nasi,author,,,human,Abraham bar Hiyya,Q31439,DSNAME896,Q3736
"Abraham bar Hiyya Savasorda, approximately 1065-approximately 1136",author,,,human,Abraham bar Hiyya,Q31439,DSNAME896,Q3736
"Abraham bar Hiyya Savasorda, approximately 1065-approximately 1136",author,,http://id.loc.gov/authorities/names/n50057585,human,Abraham bar Hiyya,Q31439,DSNAME896,Q3736
"Abraham ben Alexander, of Cologne, active 13th century",author,"אברהם בן אלכסנדר, מקולוניא, active 13th century",,human,Abraham ben Alexander of Cologne,Q120599105,DSNAME8180,Q75596
"Abraham ben Eliezer, ha-Levi, approximately 1460-approximately 1529",author,"אברהם בן אליעזר, הלוי, approximately 1460-approximately 1529",,human,Abraham ben Eliezer Halevi,Q330771,DSNAME8183,Q75599
"Abraham ben Isaac, of Narbonne, approximately 1110-1179",author,,,human,Abraham ben Isaac of Narbonne,Q133849452,DSNAME8607,Q76724
"Abraham ben Meshullam, of Sant'Angelo",scribe,,,human,Abraham ben Meshullam of Sant'Angelo,Q124426309,DSNAME893,Q3733
"Abraham ben Moses ben Maimon, 1186-1237",author,,,human,Abraham ben Moses ben Maimon,Q2874503,DSNAME8601,Q76718
Abraham ben Moshe,scribe,,,human,Abraham ben Moshe,Q125930752,DSNAME5623,Q42096
Abraham Faber,author,,,human,Abraham Faber,Q67198306,DSNAME1279,Q6158
Abraham ibn Ezra,author,,,human,Abraham ibn Ezra,Q270670,DSNAME3624,Q40069
Abraham Jacobi,former owner,,,human,Abraham Jacobi,Q72359,DSNAME5624,Q42097
Abraham Judaeus Tortuosiensis,author,,,human,Abraham ben Shem-Ṭob,Q109660011,DSNAME5625,Q42098
Abraham Pelunis,former owner,,,human,Abraham Pelunis,Q125930753,DSNAME5626,Q42099
"Abrāshī, Muḥammad ibn Ibrāhīm, active 19th century",scribe,ابراشي، محمد بن ابراهيم، active 19th century,,human,Muḥammad ibn Ibrāhīm Abrāshī,Q135991897,DSNAME8899,Q106677
"Abshīhī, Muḥammad ibn Shuʻayb, fl. 1620",author,,,human,Muḥammad ibn Shuʻayb Abshīhī,Q131690064,DSNAME7506,Q67792
Abtei Eberbach,former owner,,,organization,Eberbach Abbey,Q697766,DSNAME7446,Q67692
Abtei Gladbach,former owner,,,organization,Gladbach Abbey,Q1309858,DSNAME5484,Q41929
Abtei Himmerod,former owner,,,organization,Himmerod Abbey,Q314998,DSNAME5485,Q41930
Abū al-Baqāʼ ibn Khvajah Bahā al-Dīn ibn Khvājah Aḥmad,author,,,human,Abū al-Baqāʼ ibn Khvajah Bahā al-Dīn ibn Khvājah Aḥmad,Q127510449,DSNAME5915,Q42607
"Abū al-Faraj al-Iṣbahānī, 897 or 898-967",author,ابو الفرج الاصبهاني، 897 or 898-967,,human,Abu al-Faraj al-Isfahani,Q335599,DSNAME1815,Q12345
"Abū al-Faraj al-Iṣbahānī, 897 or 898-967",author,ابو الفرج الاصبهاني، 897 or 898-967,,human,Abu al-Faraj al-Isfahani,Q335599,DSNAME1815,Q12345
"Abū al-Faraj ʻAbd Allāh ibn al-Tayyib, -1043",author,ابو الفرج عبد الله بن الطيب,http://id.loc.gov/authorities/names/nr95024340,human,Ibn al-Tayyib,Q2820894,DSNAME1786,Q12316
"Abū al-Faraj ʻAbd Allāh ibn al-Tayyib, -1043",author,ابو الفرج عبد الله بن الطيب,http://id.loc.gov/authorities/names/nr95024340,human,Ibn al-Tayyib,Q2820894,DSNAME1786,Q12316
"Abū al-Fatḥ al-Khaṭīb, 1834 or 1835-1897 or 1898",scribe,ابو الفتح الخطيب، 1834 or 1835-1897 or 1898,,human,Abū alfatḥ alkhaṭīb,Q124772126,DSNAME6591,Q54222
"Abū al-Fatḥ ibn Abī al-Ḥasan, al-Sāmirī, active 1355",author,ابو الفتح بن ابي الحسن، السامري، active 1355,,human,Abu l-Fath,Q3603860,DSNAME3272,Q28056
"Abu al-Fayd, Mustafa",author,,,human,Mustafa Abu al-Fayd,Q130374987,DSNAME6825,Q54806
"Abū al-Faz̤l ibn Mubārak, 1551-1602",author,ابو الفضل بن مبارک، 1551-1602,,human,Abu'l-Fazl ibn Mubarak,Q334752,DSNAME6023,Q42715
"Abū al-Futūḥ Rāzī, Ḥusayn ibn ʻAlī, active 1087-1131",author,ابو الفتوح رازى، حسىن بن على، active 1087-1131,,human,Abu l-Futuh al-Razi,Q4846224,DSNAME6090,Q42782
"Abū al-Ḥajjāj al-Balawī, Yūsuf ibn Muḥammad, 1134 or 1135-1207 or 1208",author,ابو الحجاج البلوي، يوسف بن محمد، 1134 or 1135-1207 or 1208,,human,Abu al-Hajjaj al-Balawi,Q107344255,DSNAME6509,Q54140
"Abū al-Ḥajjāj al-Balawī, Yūsuf ibn Muḥammad, 1134 or 1135-1207 or 1208",author,,,human,Abu al-Hajjaj al-Balawi,Q107344255,DSNAME6509,Q54140
Abū al-Ḥasan Dallāl,former owner,ابو الحسن دلال،,,human,Abū al-Ḥasan Dallāl,Q124130444,DSNAME3214,Q27998
Abū al-Ḥasan Sa'ad,scribe,,,human,Abū al-Ḥasan Sa'ad,Q116235219,DSNAME1335,Q7083
Abū al-Ḥasan Sa'ad,scribe,,,human,Abū al-Ḥasan Sa'ad,Q116235219,DSNAME1335,Q7083
"Abū al-Ḥusayn Uzjandī, ʻAlī ibn Abī Naṣr",author,ابو الحسين اوزجندي، علي بن ابي نصر,,human,ʻAlī ibn Abī Naṣr Abū al-Ḥusayn Uzjandī,Q129453221,DSNAME6222,Q49093
"Abū al-Jaysh, Muḥammad ibn Ḥusayn, -1228 or 1229",author,,,human,Muḥammad ibn Ḥusayn Abū al-Jaysh,Q129951483,DSNAME6513,Q54144
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,ابو الليث السمرقندي، نصر بن محمد,,human,Abu al-Layth al-Samarqandi,Q938348,DSNAME1940,Q12470
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,,http://id.loc.gov/authorities/names/n82268136,human,Abu al-Layth al-Samarqandi,Q938348,DSNAME1940,Q12470
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,ابو الليث السمرقندي، نصر بن محمد، -983؟,,human,Abu al-Layth al-Samarqandi,Q938348,DSNAME1940,Q12470
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,,http://id.loc.gov/authorities/names/n82268136,human,Abu al-Layth al-Samarqandi,Q938348,DSNAME1940,Q12470
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,ابو الليث السمرقندي، نصر بن محمد، -983؟,,human,Abu al-Layth al-Samarqandi,Q938348,DSNAME1940,Q12470
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,ابو الليث السمرقندي، نصر بن محمد، -983؟,http://id.loc.gov/authorities/names/n82268136(uri) http://id.loc.gov/authorities/names/n82268136(uri) http://viaf.org/viaf/sourceID/LC%7cn82268136,human,Abu al-Layth al-Samarqandi,Q938348,DSNAME1940,Q12470
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?",author,,,human,Abu al-Layth al-Samarqandi,Q938348,DSNAME1940,Q12470
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?",author,ابو الليث السمرقندي، نصر بن محمد,,human,Abu al-Layth al-Samarqandi,Q938348,DSNAME1940,Q12470
"Abū al-Mawāhib, Muḥammad ibn Muḥammad, -1627 or 1628",author,ابو المواهب، محمد بن محمد، -1627 or 1628,,human,Muḥammad ibn Muḥammad Abū al-Mawāhib,Q131748444,DSNAME7619,Q68229
"Abū al-Najā, Muḥammad Mujāhid, active 19th century",author,ابو النجا، محمد مجاهد، active 19th century,,human,Muḥammad Mujāhid Abū al-Najā,Q131398876,DSNAME7629,Q68239
"Abū al-Qāsim Khalaf ibn ʻAbbās al-Zahrāwī, -1013",author,أبو القاسم خلف بن عباس الزهراوي، -1013,http://id.loc.gov/authorities/names/n80103641,human,Abu al-Qasim al-Zahrawi,Q311495,DSNAME827,Q3228
"Abū al-Qāsim Khalaf ibn ʻAbbās al-Zahrāwī, -1013",author,,,human,Abu al-Qasim al-Zahrawi,Q311495,DSNAME827,Q3228
"Abū al-Qāsim Khalaf ibn ʻAbbās al-Zahrāwī, -1013",author,,,human,Abu al-Qasim al-Zahrawi,Q311495,DSNAME827,Q3228
"Abū al-Qāsim Khalaf ibn ʻAbbās al-Zahrāwī, -1013",author,أبو القاسم خلف بن عباس الزهراوي، -1013,http://id.loc.gov/authorities/names/n80103641,human,Abu al-Qasim al-Zahrawi,Q311495,DSNAME827,Q3228
"Abū al-Qāsim Khalaf ibn ʻAbbās al-Zahrāwī, -1013?",author,أبو القاسم خلف بن عباس الزهراوي، -1013?,,human,Abu al-Qasim al-Zahrawi,Q311495,DSNAME827,Q3228
"Abū al-Saʻūd Muḥammad ibn Muḥammad, 1492 or 1493-1574 or 1575",author,ابو السعود محمد بن محمد، 1492 or 1493-1574 or 1575,,human,Ebussuud Effendi,Q4892993,DSNAME1899,Q12429
"Abū al-ʻAlāʼ al-Maʻarrī, 973-1057",author,,,human,al-Ma'arri,Q277073,DSNAME8891,Q106669
"Abū al-ʻAmaythal, ʻAbd Allāh ibn Khulayd, -854",author,,,human,ʻAbd Allāh ibn Khulayd Abū al-ʻAmaythal,Q129951608,DSNAME6602,Q54233
"Abū Bakr al-Ḥaṣṣār, active 12th century",author,,,human,Abu Bakr al-Hassar,Q4116723,DSNAME731,Q2841
"Abū Bakr al-Ḥaṣṣār, active 12th century",author,ابو بكر الحصار، active 12th century,http://id.loc.gov/authorities/names/no2016124755,human,Abu Bakr al-Hassar,Q4116723,DSNAME731,Q2841
"Abū Bakr al-Ḥaṣṣār, active 12th century",author,ابو بكر الحصار، active 12th century,http://id.loc.gov/authorities/names/no2016124755,human,Abu Bakr al-Hassar,Q4116723,DSNAME731,Q2841
"Abū Bakr al-Ḥaṣṣār, active 12th century",author,,,human,Abu Bakr al-Hassar,Q4116723,DSNAME731,Q2841
Abū Bakr ibn Sulaymān,scribe,أبو بكر بن سليمان.,,human,Abū Bakr ibn Sulaymān,Q123581715,DSNAME2601,Q18649
"Abudarham, David ben Joseph, active 14th century",author,"אבודרהם, דוד בן יוסף בן דוד, active 14th century",,human,David Abudirham,Q461507,DSNAME8371,Q75783
"Abū Dāʼūd Sulaymān ibn al-Ashʻath al-Sijistānī, 817 or 818-889",author,ابو داود سليمان بن الاشعث السجستاني,,human,Abu Dawood,Q336558,DSNAME7526,Q67812
"Abū Dāʼūd Sulaymān ibn al-Ashʻath al-Sijistānī, 817 or 818-889",author,,,human,Abu Dawood,Q336558,DSNAME7526,Q67812
"Abū Dāʼūd Sulaymān ibn al-Ashʻath al-Sijistānī, 817 or 818-889.",author,,,human,Abu Dawood,Q336558,DSNAME7526,Q67812
"Abū Dhuʼayb al-Hudhalī, Khuwaylid ibn Khālid, active 7th century",author,ابو ذؤيب الهذلي، خويلد بن خالد,,human,Abu-Dhuayb al-Hudhalí,Q11903887,DSNAME8914,Q106692
"Abū Firās al-Ḥamdānī, al-Ḥārith ibn Saʻīd, 932-968",author,ابو فراس الحمداني، الحارث بن سعيد، 932-968,,human,Abu Firas al-Hamdani,Q481409,DSNAME7604,Q68214
"Abū Ḥanīfah, -767 or 768",author,ابو حنيفة، -767 or 768,,human,Abū Ḥanīfa,Q190896,DSNAME6610,Q54241
Abū Ḥātim,author,,,human,Abu Hatim Muhammad ibn Idris al-Razi,Q4670207,DSNAME3625,Q40070
"Abū Ḥayyān Muḥammad ibn Yūsuf, 1256-1344",author,,,human,Abu Hayyan al-Gharnati,Q1640082,DSNAME6645,Q54276
"Abū Hiffān al-Mihzamī, ʻAbd Allāh ibn Aḥmad, active 9th century",author,ابو هفان المهزمي، عبد الله بن احمد، active 9th century,,human,ʻAbd Allāh ibn Aḥmad Abū Hiffān al-Mihzamī,Q131398882,DSNAME7691,Q68301
"Abulafia, Refaʼel",author,"אבולעפיה, רפאל",,human,Refaʼel Abulafia,Q132752882,DSNAME8227,Q75640
"Abulafia, Todros ben Joseph, ha-Levi, approximately 1220-1298",author,"אבולעפיא, טודרוס בן יוסף, הלוי, approximately 1220-1298",,human,Todros ben Joseph Abulafia,Q7812883,DSNAME8224,Q75637
"Abulʻafia, Rabbi",author,"אבולעפיה, רבי",,human,Rabbi Abulʻafia,Q132799206,DSNAME8339,Q75751
"Abū Naṣrī Haravī, Qāsim ibn Yūsuf, active 16th century",author,,,human,Qāsim ibn Yūsuf Abū Naṣrī Haravī,Q129453547,DSNAME6422,Q49293
"Abū Nuʻaym al-Iṣbahānī, Aḥmad ibn ʻAbd Allāh, 948-1038",author,ابو نعيم الاصبهاني، احمد بن عبد الله، 948-1038,,human,Abu Nu`aym,Q2822174,DSNAME1741,Q12271
"Abū Nuʻaym al-Iṣbahānī, Aḥmad ibn ʻAbd Allāh, 948-1038",author,ابو نعيم الاصبهاني، احمد بن عبد الله,,human,Abu Nu`aym,Q2822174,DSNAME1741,Q12271
"Abū Nuʻaym al-Iṣbahānī, Aḥmad ibn ʻAbd Allāh, 948-1038",author,ابو نعيم الاصبهاني، احمد بن عبد الله,,human,Abu Nu`aym,Q2822174,DSNAME1741,Q12271
"Abū Nuʻaym al-Iṣbahānī, Aḥmad ibn ʻAbd Allāh, 948-1038",author,ابو نعيم الاصبهاني، احمد بن عبد الله، 948-1038,,human,Abu Nu`aym,Q2822174,DSNAME1741,Q12271
"Abū Nuʻaym al-Iṣbahānī, Aḥmad ibn ʻAbd Allāh, 948-1038",author,"ابو نعيم الاصبهاني، احمد بن عبد الله, 948-1038",,human,Abu Nu`aym,Q2822174,DSNAME1741,Q12271
"Abū Sālim al-Naṣībī, Muḥammad ibn Ṭalḥah, 1186 or 1187-1254 or 1255",author,ابو سال النصيبي، محمد بن طلحة، 1186 or 1187-1254 or 1255,,human,Abū Sālim al-Naṣībī,Q124772001,DSNAME7699,Q68309
"Abū Shāmah, ʻAbd al-Raḥmān ibn Ismāʻīl, 1203-1267",author,ابو شامة، عبد الرحمن بن اسماعيل,http://id.loc.gov/authorities/names/n80137503,human,Abu-Shama al-Maqdissí,Q481455,DSNAME1763,Q12293
"Abū Shāmah, ʻAbd al-Raḥmān ibn Ismāʻīl, 1203-1267",author,ابو شامة، عبد الرحمن بن اسماعيل,http://id.loc.gov/authorities/names/n80137503,human,Abu-Shama al-Maqdissí,Q481455,DSNAME1763,Q12293
"Abūṣīrī, Muḥammad al-Azharī",scribe,ابوصيري، محمد الأزهري،,,human,Muḥammad al-Azharī Abūṣīrī,Q124566702,DSNAME3626,Q40071
"Abū Tammām Ḥabīb ibn Aws al-Ṭāʼī, active 808-842",author,ابو تمام حبيب بن اوس الطائي، active 808-842,,human,Abu Tammam,Q1750054,DSNAME1793,Q12323
"Abū Tammām Ḥabīb ibn Aws al-Ṭāʼī, active 808-842",author,ابو تمام حبيب بن اوس الطائي، active 808-842,,human,Abu Tammam,Q1750054,DSNAME1793,Q12323
"Abū Yūsuf Yaʻqūb, 731 or 732-798",author,,,human,Abu Yusuf,Q220697,DSNAME7057,Q63987
"Abū ʻAbd Allāh al-Fāsī, Muḥammad ibn Ḥasan, 1193-1258",author,ابو عبد الله الفاسي، محمد بن حسن,,human,Abū ʻabd Allāh al-Fāsī,Q124771722,DSNAME8729,Q101411
"Abū ʻAbd al-Raḥmān Muḥammad ibn Sulaymān, fl. 1520",author,,,human,Abū ʻAbd al-Raḥmān Muḥammad ibn Sulaymān,Q131432229,DSNAME7072,Q64002
"Abū ʻAlī, Muḥammad ibn Ismāʻīl, 1746-1800 or 1801",author,,,human,Muḥammad ibn Ismāʻīl Abū ʻAlī,Q131575232,DSNAME7548,Q67834
"Abyārī, ʻAbd al-Hādī Najā ibn Raḍwān Najā, 1820 or 1821-1887 or 1888",author,,,human,ʻAbd al-Hādī al-Abyārī,Q12223881,DSNAME6583,Q54214
